en,hi
climate,आबोहवा
climate,जलवायु
climatic ,जलवायु-विषयक
climax,पराकाष्ठा
climax,चरमावस्था
climb,चढना
climb,पहुँचना
climb,पहनना
climb,चढाना
climb,डालना
climb,जाना
climb,उगना
climb,बढना
climb-down,भूल-स्वीकार
climb-down,निवर्तन
climber ,लता
climber ,आरोही
climb,चढाई
climb,आरोहण
climbing-frame,आरोहन-ढाँचा
climbing ,आरोहण
climb ,चढान
climb ,आरोहण
climb ,चढाई
climb,च्लिम्बना
climb ,चढना
clinch ,पकड़
clinical,भावशून्य
clinical,असज्जित
clinical,रोग-विषयक
clinical psychologist ,मनोरोग-चिकित्सक
clinic,क्लीनिक
clinic,चिकित्सालय
clinker-built,पट्टेदार
clink,झनझनाहट
clinking,झनझनाहट
clink ,झनझनाना
clint ,च्लिन्ट्
clipboard ,क्लिपबोर्ड
clip,किलप
clip,चिमटी
clip,छाँटना
clipper,कैंची
clippers,कैंची
clipping,कटिंग
clique ,गुट
clitoris ,भग-शिश्न
cloak ,आड़
cloak ,लबादा
cloakroom,सामान-कक्ष
clobber ,सामान
cloche hat,क्लोश
cloche,क्लोश
cloche ,पादप-आवरण
clock,मीलमापी
clock,चालमापी
clock,विराम-घड़ी
clock,घड़ी
clock,चेहरा
clock,मारना
clock,लिखना
clock,दिखाना
clock ,घड़ी
clock ,लिखना
clockwise,दक्षिणावर्त
clockwork,घड़ी-यंत्र
clodhopper ,गँवार
clod ,ढेला
clog ,खड़ा
cloistered ,संरक्षित
cloister ,तोरण-पथ
clone,प्रतिरूप
clone,अमिथुनक
cloning ,प्रतिरूपण
close ,करीबी
stopping point,अंत
coccyx,पुच्छास्थि
close,घेरना
close,मोंदना
close,पूरा
close,भरना
close,ढांकना
close,बंद
close,गुप्त
close,दमघोटू
close,तंग
close,बालबाल
close,गहरा
close,घनी
close,छिपाऊ
close,कंजूस
close,नज़दीकी
close,निकट
close,बहुतही
close,गहन
close,गहरी
close,सच्चा
close,संवृत
close around,कसना
closed,सीमित
closed,संकीर्ण
close-down,कार्य-बंदी
close,अंधी
close,सतर्कतापूर्वक
close ,समाप्ति
close ,अंत
close,नज़दीक
close,कसकर
close,अंत
close,पास
close,करीब
close in,छाना
close,लिपटना
close-knit,संगठित
closely,ध्यानपूर्वक
close,आसपास
closeness ,नज़दीकी
coccyx,अनुत्रिक
close on,लगभग
close over,कसना
close round,कसना
closet,अलमारी
closet,गुप्त
close up,भरना
closeup,निकटचित्र
closure ,काम-बंदी
closure ,बंदी
closure ,समाप्ति
cloth,मेज़पोश
cloth,पादरी
cloth,कपड़ा
clothing,पहनावा
clothing ,परिधान
cloth,कवर
clot ,थक्का
cloud-cuckoo-land,कल्पना-लोक
cloud,बादल
cloud,गुबारा
cloud,दल-बादल
cloud-land,कल्पना-लोक
cloud ,बादल
cloud,उलझाना
cloud,च्लोउड्
cloudy ,मेघाच्छादित
clout,मुक्का
clove ,लौंग
clove ,जवा
clown ,विदूषक
clown ,भाँड़
club,गदा
club,मुगदर
club,रात्रि-गोष्ठी
club,रात्रि-क्लब
club,संघ
club,डंडा
club,क्लब
club,स्टिक
club-footed,पाँवफिरा
club-foot,पादविकृति
club,चिड़िया
club,चिड़ी
club,क्लब-घर
club,मिलना
club,लाठी
club ,क्लब
cluck ,कुटकुटाना
clue,संकेत
clue,सुराग
clump ,धमधमाहट्
clump ,झुरमुट
clump ,लौंदा
clumsy,बेढंगा
clumsy,बेडौल
clumsy ,फूहड़
clunk ,धम्म
cluster around,घेरना
cluster,गुच्छा
cluster,झुरमुट
cluster,झुण्ड
clutch,चंगुल
clutch,क्लच
clutch,पकड़
cm ,सेंटिमीटर
coach-house,गाड़ीघर
coach,यान
coach,बग्धी
coach,प्रशिक्षक
coal-fired,कोयला-ऊर्जा
coal gas,कोयला-गैस
coal,अंगार
coal,कोयला
coalition,ऐक्य
coal ,कोयला
coal tar,अलकतरा
coarse,गन्दा
coarse,दानेदार
coarse,घटिया
coarse,खुरदुरा
coarse,अमार्जित
coast,फिसलना
coast,चलाना
coastal,तटीय
coast,किनारा
coast,तट
coastline,तट-रेखा
coat,लगाना
coat,तह
coat,आवरण
coat,रोम
coat,बाल
coat,जाकेट
coat,परत
coat,पहनाना
coat,लबादा
coat,कोट
coat,झिल्ली
coat,परदा
coat ,लबादा
coat ,कोट
coat,पोतना
coat of arms,कुल-चिन्ह
coat,ख़ाल
coat,चमड़ा
coat,छिलका
cobalt,कोबाल्ट
Coca-Cola,कोका-कोला
cock-a-doodle-doo,कुकड़ूँ-कूं
cock-a doodle-doo ,कुकड़ूँ-कूँ
cockatoo ,काकातुआ
cock crow,सुबह
wonky ,टेढ़ा
lopsided ,तिरछा
cock,मुर्गा
cock,नरपक्षी
cock,शिक्ष्न
cockney ,लंदनिया
cockney ,लंदनियाआ
cock ,मुर्गा
cock of the walk ,सरगना
cock pit,कॉकपिट
cockpit ,चालक-स्थान
cockpit ,कॉकपिट
cocksure ,अतिविश्वासी
cocktail,मिक्षण
cocktail,कॉकटेल
cock-up,सत्यानाशअ
cocky ,गर्वीला
cocoa,कोको
cocoa ,कोको
coconut,नारियल
cocoon ,कोया
cocotte ,वेश्या
coda,कोडा
coddle ,उसनना
code,कोड
code,संहिता
codicil,उपदित्सा
codification  ,संहिताकरण
coefficient,गुणांक
coercion ,ज़ोर-ज़बर्दस्ती
coercive ,अवपीड़क
coexistence ,सह-अस्तित्व
coffee,कॉफ़ी
coffee-morning,कॉफी-मॉर्निंग
coffer,हाथ
coffer ,तिजोरी
coffers,हाथ
coffin,ताबूत
cogency ,अकाट्यता
cogent ,अकाट्य
cogently ,अकाट्यतापूर्वक
cognac,कोन्याक
cognac ,कोन्याक
cognate ,नज़्दीकी
cognate,सजातीय
cognition ,ज्ञान
cognitive ,संज्ञानात्मक
cog ,दाँता
cognoscenti ,कला-मर्मज्ञ
coherent ,सुसंगत
cohesion ,संसंजकता
cohesion ,संसक्ति
cohesive ,संसंजक
cohesive ,संसक्त
cohesiveness ,संसक्ति
cohort ,दस्ता
cohort ,दल
coil,कॉयल
coil,काँयल
coil,लच्छा
coil,कुण्डली
coil,मोड़ना
coinage ,सिक्का-ढलाई
coinage ,शब्द-आविष्कार
coinage ,सिक्का
coin,बनाना
coin,सिक्का
coincidence ,अनुरूपता
coincidence ,संयोग
coincidence ,संपात
coinciding ,संयोगात्मक
coincidentally ,संयोगवश
coin,खोजना
coin,टंक
coin ,सिक्का
coin ,मुद्रा
coin,कमाना
coin ,रचना
coin ,बनाना
cokaine,कोकीन
coke,कोकीन
coke ,कोक
colander ,छलनी
cold ,ठंडा
cold ,शीतल
cold,ठंडा
cold,भावशून्य
cold,रुखा
cold,निरुत्साहकारक
cold,शीतल
cold,ठंडाआ
cold,तिव्र
cold,कठोर
cold,निरुत्साह
cold,अचेत
cold,बेहोश
cold,शांत
cold,शीत
cold,घिसा-पिटा
cold,बासी
cold,स्नेहहीन
cold,ठण्डा
cold,हल्का
cold,ठंडी
cold-blooded,निर्दयी
cold-blooded,असमतापी
cold,ठंडक
cold,ठंड
cold,भयभीत
cold-hearted,निर्दयी
cold,निरुत्साही
cold,सर्दी
cold,जुखाम
cold ,सर्दी
cold ,ज़ुकाम
cold storage,शीत-संग्रहागार
coleslaw,कोलेस्लॉ
colic ,उदरशूल
colitis ,बृहदांत्र-शोथ
collaborationist ,देशद्रोही
collaboration ,सहयोग
collaborative ,सहयोगपूर्ण
collaboratively ,सहयोगपूर्वक
collaborator ,देशद्रोही
collaborator ,सहयोगी
collage ,संग्रह
collapse,पतन
collapse,गिरावट
collapse,गिरना
collar,पकड़ना
collar-bone,हँसुली
collar,पट्टा
collar,गरदनी
collar,कंठाहार
collar,गलपट्ट
collar,वलयसज्जा
collar,हार
collar ,पट्टा
collar,कॉलर
collar ,पकड़ना
collate ,मिलाना
collation ,मिलान
colleague,सहकर्मी
collectable,संग्रहणीय
collect,लाना
collect,बटोरना
collect,लेना
collected ,प्रकृतिस्थ
collectible,संग्रहणीय
collection,संचय
collection,संचयन
collection,संग्रह
collection,भीड़
collection,चन्दा
collection,ढेर
collection,संकलन
collection ,संग्रह
collective,सामूहिक
collective,सामूह
collective,संगठन
collectivisation,सामूहिकीकरण
collectivism ,सामूहिकवाद
collectivist ,समूहवादी
collectivization,सामूहिकीकरण
collector,कलेक्टर
collector ,कलेक्टर
collector ,संकलनकर्ता
collector's piece,नुमाइशी
college,गण
college,संघ
college,विद्यालय-भवन
college,कालेज
college,केंद्र
college,विद्यलय
college,महाविस्यालय
college ,कालेज
collide,टकराना
collie,कॉली
colliery ,कोयला-खान
collision,संघर्ष
collision,टक्कर
collocation ,साहचर्य
collude ,साँठ-गाँठअना
collusion ,मिलीभगत
cologne,कोलोन
Colombian peso,पेसो
colonel ,कर्नल
colonial ,औपनिवेशिक
colonial,उपनिवेशी
colonialism,उपनिवेशवाद
colon,कोलन
colonisation,उपनिवेशन
colonization,उपनिवेशन
colonnade ,स्तंभावली
colon,मलाशय
colony ,बस्ती
colony ,उपनिवेश
colony ,उपनगर
coloring,रंगत
coloring,रंजक
colorless,रंगहीन
color line,वर्ण-भेद
color ,रंग
colossal ,विशाल
colour,रंगीन
colour bar,वर्ण-भेद
colour-blind ,वर्णान्ध
colour blindness,वर्णान्धता
colour-coded ,रंग-संकेतयुक्त
coloured ,रंगीन
colourful,रंग-बिरंगा
colour,वास्तविकता
colour,लाली
colour,वर्ण
colour,रंग
colour,सूरत
colour,बहाना
colour,दिखावा
colour,ढोंग
colouring,रंगतअ
colouring,रंजक
colourless,रंगहीन
colour ,रंग
coltish ,अनाड़ी
colt ,अश्वशावक
column,दंड
column,पंक्ति
column,पंक्त्
column,स्तम्भ
column,बेड़ा
column,टुकड़ी
column,कॉलम
columnist ,स्तंभलेखक
column,स्तम्भअ
coma ,सम्मूर्छा
comatose,बेहोश
comatose,सम्मूर्छित
comb,खोजना
comb,निकालना
combatant ,लड़ाक्
combat,लड़ाई
combat,प्रतिरोधक
combat,लड़ना
comb,मधु-कोष
comb,कंघी
comb,कंघा
comb,धुनकी
combination,मिश्र
combination,संयुक्त
combination,मेल
combination,संमिश्रण
combination,संयोग
combination,संख्या
combination,संचय
combination,मेल-मिलाप
combination,संबन्ध
combination,कुर्ता-पायजामा
combination ,मेल
combination ,मिलाप्
combine,सम्मिश्रण
combine,मिलाना
combine,जोड़ना
combine,मेल
combine,घोलना
combine,जत्था
combine,लेना
comb ,कंघी
combo ,संगीत-मंडली
combo ,सम्मिश्रण
comb,तुरा
comb,कलगी
comb,चोटी
comb <something> out,सुलझाना
combustible ,ज्वलनशील
combustion,दहन
combustion,हिंसा
combustion,जलाना
come about, होना
come,आना
come, होना
come,पहुँचना
come,उगना
come along,आअना
come along,फलना-फूलना
come along,सुधरना
come and go,आना-ना
come around,अपनाना
come around,आना
come away,निकलना
come back,लौटना
comeback ,वापसी
comeback ,प्रत्युत्तर
come by,मिलना
come by,लगना
come down,गिरना
come down,आना
come down,घटना
come down,गिर
come down,उतारना
come down,छोड़ना
come down,बरसना
comedown ,पतन
come down with,होना
comedy,परिहास
comedy,मज़ाक
come,मिलना
come,पड़ना
come,निकलना
come,लगना
come-hither,कामुक
come,पहुं़चना
come,पजुँचना
come in for,पाना
come in,आना
come in,मिलना
come in,उठना
come into flower,खिलना
comely ,मनोरम
come off badly,पिटना
come off,निकलना
come off,आना
come off, होना
come on,आना
come-on,आकर्षण
come on,फलना-फूलना
come on,बढ़ना
come on,अरे
come out at, होना
come out,बनना
come out,उखड़ना
come out,फूटना
come out,निकलना
come out,आना
come out,खिलना
come out,निकालना
come out,बोलना
come out with, करना
come over,पड़ना
come over,चलना
comer ,प्रत्याशी
come round,मानना
come round,अपनाना
come through,मिल्ना
come to,आना
come to,सूझना
come to,लगना
come to rest,रूकना
come unstuck,खुलना
come up,उगना
come up,आना
come up,उठना
come up,निकलना
come up to,आना
come up to,पहुँच्ना
come up with,जुटाना
come up with,सूझना
come , होना
come ,पहुँचना
come ,आना
comfortable ,आरामदायक
comfortable,आराम
comfortable,सुखी
comfortable,काफ़ी
comfortable,सुखकर
comfortable,शांत
comfortable,पर्याप्त
comfortable,आरामदायक
comfortable,सुविधापूर्ण
comfortable,सुखद
comfortable,स्वच्छंद
comforter,चुसनी
comforter ,रजाई
comforter ,दुलाई
comfort,सान्त्वना
comfort,दिलासा
comfort,सुख
comfortless ,बेआराम
comfort ,सान्त्वना
comfort ,सुख
comfort ,दिलासा
comfy ,आरामदेह
comic ,हास्यजनक
comical ,हास्यास्पद
comic ,चित्रकथा
comings and goings,आवा-जाही
comma,अल्पविराम
command,दर्शाना
commandant ,कमांडेंट
command,समादेश
command,आज्ञा
command,आदेश
command,नियंत्रण
commander ,कमांडर
commander ,सेनाध्यक्ष
command,कमांड
command,कमान
command,प्रभुत्व
command,काबू
command,नियंट्रणअना
command,अधिकार
command,संकेत
command,पहरा
commanding ,प्रधान
commanding ,प्रभावशाली
commandment ,धर्मादेश
command ,दस्ता
command ,आदेश
command,देना
command,लेना
command,माँगना
hearty ,भर-पेट
command,पाना
commando ,कमांडो
commemoration ,स्मृति
commemorative ,स्मारकीय
commencement ,शुरुआत
commendable ,सराहनीय
commendable ,प्रशंसनीय
commendation ,प्रशंसा
commend ,सिफ़ारिश
commend ,सौंपना
commensurate ,आनुपातिक
commentary ,कमेंट्री
commentary ,टिप्पणी
commentator,समालोचक
commentator,टीकाकार
comment,आलोचना
comment,टिप्पणी
commerce,वाणिज्य
commercial,विज्ञापन
commercial ,व्यावसायिक
commercial ,वाणिज्यिक
commercialism ,बनियापन
commercialism ,वाणिज्यवाद
commissioner ,कमिश्नर
commission,करना
commission,दलाली
commission,आयोग
commission,कमीशन
commission,कार्यभार
commit, करना
commit,भेजना
commit,लिखना
commitment,सुपुर्दगी
commitment,भरती
commitment,वचनबद्धता
commitment,जिम्मेदारी
committal ,गिरफ़्तारी
committed ,समर्पित
committee,संसद
committee,समिति
committee,आयोग
committee,ज़ामीन
committee ,समिति
committee ,कमेटी
commode,अल्मारी
commode ,कमोड
commodious ,लंबा-चौड़ा
commodious ,बड़ा
commodious ,विशाल
commodity ,माल
commodore ,कमोडोर
common ,आम
common,साधारण
common,सामान्य
common,आम
common,हल्का
common,सार्वजनिक
common ground,मतैक्य
common,समान
commonly,अक्सर
commonly,सामान्यतः
common or garden,सामान्य
commonplace ,आम
superficial ,सतही
Commons,लोकसभा
commonwealth ,राष्ट्र
Commonwealth ,राष्ट्रमंडल
commotion ,हंगामा
commotion ,हो-हल्ला
communal ,सामुदायिक
communal ,साम्प्रदायिक
communicable ,संक्रामक
communicable ,सूचनीय
communicate,पहुँचाना
communicate,फैलाना
communicating,संचारण
communication,संचार
communication cord,आकस्मिक-ज़ंजीर
communication,संसर्ग
communication,संचारव्यवस्था
communication,सम्पर्क
communication,सूचना
communicator ,संचारक
communion,कम्युनियन
communique ,विज्ञप्ति
communism ,साम्यवाद
communist ,साम्यवादी
community,समाज
community,समुदाय
community,संप्रदाय
community,सम्प्रदाय
commutable ,विनिमेय
commutation,लघूकरण
commutation ,विनिमय
compact,चुस्त
compact,समझौता
compact,सुसंहत
compact,सुसम्बद्ध
compactness ,ठोसपन
companionable ,मिलनसार
companion,रोशनदान
companion,हिस्सेदार
companion,साथी
companion,मित्र
companion,सखी
companion,व्यक्ति
companion,जोड़ी
companion,सहयोगी
companion ,साथी
companionship ,साथ
company,संगति
company,साथ
company,कंपनी
company,मित्र
company,साथी
company,मेहमान
company,अतिथि
company,संग
company,दल
company,मिलनेवाला
company,सहयोगी
company,जनसमूह
company,कम्पनी
company,टोली
company,उद्योग
company,इकाई
company ,कंपनी
company ,संगति
comparable,तुलनीय
comparable,तूलनीय
comparative,अपेक्षाकृत
comparative,तुलनात्मक
comparative,उत्तरावस्था
compare,तुलना
compare ,तुलनाआ
comparison,तुलनात्मक
comparison,तुलना
comparison,समानता
comparison ,समानता
compartment ,खाना
compartment ,डिब्बा
compass,दिक्सूचक
compass,परिधि
compass,पहुँच
compass,परकार
compassionate ,दयालु
compassionately  ,सहानुभूतिपूर्वक
compassion ,सहानुभूति
compatible ,सहवर्तनीय
compatible ,अनुरूप
compatible,अनुकूल
compatriot ,हमवतन
compelling ,अकाट्य
compendium ,संग्रह-पुस्तक
compensation,क्षतिपूरण
compensation,मुआवजा
competence,योग्यता
competency,योग्यता
competent ,सक्षम
competition,संघर्ष
competition,प्रतिस्पर्धा
competition,स्पर्ध्दा
competition,प्रतिस्पर्ध्दी
competition,प्रतियोगिता
competition,द्वन्द्वयुध्द
competition ,प्रतिस्पर्धा
competition ,प्रतिद्वंद्विता
competition ,प्रतिस्पर्ध्दा
competitive ,प्रतिस्पर्धात्मक
competitive,प्रतिस्पर्धापूर्ण
competitor,प्रतिस्पर्ध्दी
competitor,प्रतिद्वन्द्वी
competitor,प्रतियोगी
competitor ,प्रतिस्पर्ध्दी
compilation ,संकलन
compilation ,संग्रहण
compiler,कंपाइलर
compiler ,संकलनकर्ता
complacency ,आत्मसंतोष
complacent ,आत्मसंतुष्ट
complacently ,आत्मटुष्टिपूर्वक
complainant,फ़रियादी
complaint,रोग
complaint,फ़रियाद
complaint,आरोप
complaint,शिकायत
complaint,व्याधि
complaint,मुकदमा
complaint,दावा
complaint,झगड़ा
complaint,बयान
complaint ,शिकायत
complementary ,अन्योन्याश्रित
complementary ,पूरक
complement ,विधेयार्थ
complement ,कोटा
complement,पूरक
complement ,पूरक
complete,पूर्ण
complete,पूरा
complete,उत्कृष्ट
complete,सम्पूर्ण
complete,समाप्त
complete,फूर्ण
complete,बनाना
completeness ,संपूर्णता
completion,समाप्ति
completion,समापन
complex,पेचीदा
complex,जटिल
complex,भीति
complex,संकुल
complex,ग्रन्थ्
complexion ,वर्ण
complexion ,स्वरूप
complexity ,जटिलता
complex,मिक्ष
compliance ,अनुपालन
compliant ,आज्ञाकारी
compliant ,अनुवर्ती
complicated,पेचीदा
complicated,कठिन
complicated,जटिल
complication,जटिलता
complication ,परेशानी
complimentary ,प्रशंसात्मक
compliment,प्रशंसा
compliment,शुभकामनाएँ
compliment slip,अभिनन्दनपत्र
component,घटक
compose,बनाना
compose,लिखना
composer ,संगीतकार
composite ,मिश्र
composite ,संयोजन
composition,रचना
composition,संयोजन
composition,कृति
composition,निबंध
composition ,मुद्रायोजन
composition,संघटन
composure ,आत्मसंयम
compound ,मिश्रित
compound,मिलाना
compound,निपटाना
compound,बढाना
compound,बनाना
compound,चक्रवृध्दि
compound,संयुक्तांगी
compound,मिश्रांगी
compound,संयुक्त
compound,मिश्रित
compound,यौगिक
compound,समस्त
compound,संघजीवी
compound,संघचारी
compound,सामासिक
compound,समास
compound,अहाता
compound,प्रांगण
compound ,बनाना
comprehend,समझना
comprehensible ,बोधगम्य
comprehension ,समझ
comprehension ,बोध
comprehensive,बहुपाठ्यक्रम
comprehensive,व्यापक
comprehensive,विशद
comprehensiveness ,बोधगम्यता
comprehensiveness ,व्यापकता
compress,दबाना
compression,दबाव
compression ,दबाव
compress ,पट्टी
compress ,दबाना
compromise ,समझौता
comptroller ,नियंता
compulsion ,अनिवार्यता
compulsion ,दबाव
compulsive ,अनिवार्य
compulsive ,ज़बर्दस्त
compulsory ,अनिवार्य
compunction ,खेद
computational ,संगणनात्मक
computation ,संगणना
computer,संगणक
computer,गणक
computer,परिकलक
computerisation,कंप्यूटरीकरण
computerisation,कंप्यूटरीकरणअ
computerization,कंप्यूटरीकरण
computerization,कंप्यूटरीकरणअ
computer ,कम्पूटर
computer ,संगणक
computing,संगणना
computing,संगणन
computing ,संगणन
comrade ,कॉमरेड
comrade ,साथी
concave ,अवतल
conceal,छिपाना
concealment ,छिपनाआ
concede,मानना
conceited ,अहंकारी
conceitedly ,अहंकारपूर्वक
conceit,हास्योक्ति
conceit,दर्प
conceivable ,कल्पनीय
conceive,सोचना
concentrated ,गाढ़ा
concentrated ,संकेंद्रित
concentrated ,दत्तचित्त
concentration,जमाव
concentration,एकाग्रता
concentration ,एकाग्रता
concentration ,जमाव
concentric,सकेन्द्री
concept,अवधारणा
concept,संकल्पना
concept,प्रत्यय
conception,अवधारणा
conception,समझ
conception,संकल्पना
conceptual,वैचारिक
conceptualization,वैचारिकता
concerned,चिन्तित
concern,चिंता
concern,चिंतित
concern,कारोबार
concern,कारखाना
concern,फर्म
concern,सहानुभूति
concern,दिलचस्पी
concern,मुद्दा
concern,संबंध
concern,चीज
concerning,संबद्ध
concern ,संबंध
concert,बड़ा
concert,संगीत
concerted ,सम्मिलित
concert,मेल
concert ,संगीत-समारोह
concerto,बन्दिश
concessionary ,रिआयती
concession ,रियायत
concession ,छूट
concession ,सुविधा
conciliate ,मनाना
conciliation ,समाधान
conciliator ,शांति-स्थापक
conciliator ,मध्यस्थ
conciliatory ,मैत्रीपूर्ण
concise ,संक्षिप्त
concise ,सारिक
conciseness ,संक्षिप्तता
conclusion,समाप्ति
conclusion,निष्कर्ष
conclusive ,निर्णायक
concoction ,मिश्रण
concoct ,गढ़ना
concomitant ,सहवर्ती
concordance,कन्कॉर्डेन्स
concordance ,शब्दानुक्रमणिका
concordance ,सामंजस्य
concourse ,भीड़
concourse ,हॉल
concrete,ठौस
concrete,कंक्रीट
concrete,मूर्त
concupiscence ,कामवासना
concurrence ,सहमति
concurrence ,समापात
concurrent ,समवर्ती
concurrently ,साथ-साथ
concussion ,मस्तिष्काघात
condemnable ,निन्दनीय
condemnation ,निंदा
condensation,संक्षेपण
condensation ,द्रवण
condensation ,संघनन
condescending ,विनीत
condescension ,कृपालुता
condiment ,मसाला
conditional ,प्रतिबंधी
conditional ,सप्रतिबंधी
condition,हालात
condition,परिस्थिति
condition,शर्त
condition,बीमारी
condition,स्वास्थ्य
condition,उपाधि
condition,प्रतिबंध
condition,दशा
condition,स्थिति
condition ,शर्त
condition ,स्थिति
condominium,कॉन्डोमिनियम
condominium,सहराज्य
condom ,कंडोम
conducive ,सहायक
conduct,आचरण
conduct,प्रणाली
conduction ,चालन
conductive,चालकीय
conductivity ,चालकता
conductor,कण्डक्टर
conductor,गार्ड
conductor,चालक
conduit,वाहक
cone,कोन
cone,संकु
confectionery,मिष्टान
confederation ,संगठन
conference,सम्मेलन
confess,मानना
confession ,स्वीकारोक्ति
confession ,अपराध-स्वीकरण
confession ,पाप-स्वीकरण
confidant ,विश्वासपात्र
confide,सौंपना
confide,बताना
confidence,भरोसा
confidence,विश्वास
confidence,राज
confidence,आत्मविश्वास
confidence ,भरोसा
confidence ,विश्वास
confident ,निडर
confident,विश्वासपूर्ण
confident,निडर
confidential ,गोपनीय
confidentiality ,गोपनीयता
confident,विश्वासपात्र
configuration ,समाकृति
configuration ,कन्फ़िगरेशन
confined ,सीमित
confinement ,प्रसूति
confines ,सीमा
confirmation ,पुष्टीकरण
confirmation ,दृढ़ीकरण-संस्कार
confirmed ,पक्का
confiscation ,ज़ब्ती
conflate ,मिलाना
conflation ,सम्मिश्रण
conflict,द्वंद्व
conflict ,युद्ध
conflict,लड़ाई
conflict ,मतभिन्नता
confluence,संगम
conformation ,रचना
conformist ,अनुसारक
conformity ,अनुरूपता
confounded ,बेकार
confrontation ,सामना
confused,हक्का-बक्का
confused,अस्पष्ट
confuse,मिलाना
confusing ,पेचीदा
confusing,अस्पष्ट
confusion,अस्तव्यस्तता
confusion,भ्रम
confusion,भान्ति
confusion,भौचक्का
confutable ,खण्डनीय
confutative ,खण्डनीय
congenial ,सौहार्दपूर्ण
congenial ,अनुकूल
congenital ,जन्मजात
congenital,जन्मजात
congestion ,संकुलता
congestion ,संकुलन
conglomerate,संगुटिका
conglomerate ,संपिंडन
conglomeration ,संगुटीकरणअ
conglomeration ,संगुटिकाश्मन
congratulation,बधाई
congregational ,सामुदायिक
congregation ,भक्त-मंडली
congregation ,सभा
congregation ,एकत्रीकरण
congregation ,भक्तगण
congress,महासम्मेलन
congress,कांग्रेस
congruence,समशेषता
congruence ,सामंजस्य
congruent ,समशेष
congruent ,समनुरूप
coniferous ,शंकुधारी
conjecture ,अटकलबाज़ी
conjugal ,वैवाहिक
conjunction ,संयोग
conjunctivitis ,नेत्रशोथ
conjurer,जादूगर
conjuror,जादूगर
con man,ठग
connect,जोड़ना
connect,लगना
connect,सटाना
connect,मिलाना
connecting,संयोजक
connection,नाता
connection,संपर्क
connection,संयोजन
connection,सम्बन्ध
connect ,जोड़ना
conniving ,धोखेबाज़
con ,धोखा
connoisseur ,पारखी
conquer,जीतना
conquest,विजय
conquest,जीत
conscience,विवेक
conscience,अंतःकरण
conscience,सच्चाई
conscience ,अंतःकरण
conscientious ,कर्तव्यनिष्ठ
conscientiously ,निष्ठापूर्वक
conscientiousness ,कर्तव्यनिष्ठा
conscious ,अभिज्ञ
conscious,सतर्क
conscious,अभिज्ञ
conscious,सचेत
conscious,जागरूक
conscious,साभिप्राय
conscious,जाग्रत
consciousness,जानकारी
consciousness,चेतना
consciousness,होश
consciousness-raising,जागृति
consecutive ,लगातार
consecutively ,क्रमानुसार
consensus ,मतैक्य
consent,सहमति
consent,स्वीकृति
consequence,परिणाम
consequence,नतीजा
consequent ,परिणामी
consequentially ,परिणामस्वरूप
consequently ,परिणामस्वरूप
conservation,संरक्षण
conservation ,अविनाशिता
conservation ,संरक्षन
conservation ,संरक्षण
conservatism ,रूढ़िवाद
Conservatism ,अनुदारवाद
conservative ,अनुदारवादी
conservative ,रूढ़िवादी
conservative ,दकियानूसी
conservative ,अनुदार
Conservative ,अनुदारवादी
considerable,महत्वपूर्ण
considerable,बहुत
considerably,काफ़ी
consider,समझना
consideration,विचार
consideration,ध्यान
consideration,मुआवजा
consideration,कारण
consider,मानना
consider,सोचना
consider ,समझना
consign ,भेजना
consist, होना
consistency ,संगतता
consistency ,संघनता
consistent,अनुरूप
consistent,अटल
consistently ,लगातार
consist , होना
consolation ,तसल्ली
consolation prize,सांत्वना-पुरस्कारअ
consolatory ,सांत्वनाप्रद
console,दीवारगीर
console,शोभाकोष्ठक
console,ढाँचा
console,सान्त्वनाएना
console,कॉन्साल
consolidation,दृढ़ीकरण
consolidation ,दृढ़ीकरण
consonant,अनुरूप
consonant,सुरीला
consonant,मधूर
consonant ,व्यंजन
consortium ,संघ
conspicuous,विशिष्ट
conspicuousness ,स्पष्टताई
conspiracy ,षड्यंत्र
conspiratorial ,षड्यंत्रपूर्ण
conspirator ,षड्यंत्रकारी
constable ,कॉन्स्टेबल
constabulary ,पुलिस
constancy ,स्थिरता
constancy ,वफ़ादारी
constant,निरन्तर
constant,स्थायी
constant,लगातार
constant,स्थिर
constantly,सदा
constantly,लगातार
constellation,राश्
consternation ,भयाकुलता
constipation,कब्ज
constipation ,कब्ज़ियत
constituent,संघटक
constituent ,निर्वाचक
constituent ,अंग
constitute, होना
constitutional,सांविधानिक
constitutionalism ,संविधानवाद
constitution,गठन
constitution,बनावट
constitution,संविधान
constrained ,मजबूर
constraint,कृत्रिमता
constraint,दबाव
constraint,प्रतिबन्धी
constraint ,असहजता
constraint ,दबाव
constraint ,प्रतिबंध
constricted ,संकीर्ण
construct,बनाना
construct,खींचना
construction,निर्माण
construction,निर्माण-कार्य
construction,अभिप्राय
construction,वाक्य-रचना
construction,संरचना
construction ,निर्माण
constructive,रचनात्मक
constructor ,निर्माता
construct ,रचना
consular ,वाणिज्यदूतीय
consulate,काउंसलावास
consul ,वाणिज्य-दूत
consul ,दंडाधिकारी
consultant,परामर्श-चिकित्सक
consultant,सलाहकार
consultant,चिकित्सक
consultation,परामर्श
consultative ,सलाहकारी
consume,जलाना
consume,खाना
consumer,उपभोक्ता
consumerism ,उपभोक्तावाद
consumerist ,उपभोक्तावादी
consummate ,पक्का
consummate ,परम
consummation ,समापन
consumption,खपत
consumption,तपेदिक
